name;sku;ean;slug;available;shopUrl
2er Pack – Sitzerhöhung (Größe L);AR-SE-2;4260706040144;2er-pack-sitzerhoehung-groesse-l;true;https://elvent.shop/product/2er-pack-sitzerhoehung-groesse-l/AR-SE-2
2er Pack – Sitzerhöhung (Größe M);SC-SE-2;4260706040892;2er-pack-sitzerhoehung-groesse-m;false;https://elvent.shop/product/2er-pack-sitzerhoehung-groesse-m/SC-SE-2
2er Pack – Sitzerhöhung (Größe XL);WP-SE-2;4260706042421;2er-pack-sitzerhoehung-groesse-xl;true;https://elvent.shop/product/2er-pack-sitzerhoehung-groesse-xl/WP-SE-2
2er-Pack Gepäckhaken;BW-GH-0;4260706043589;2er-pack-gepaeckhaken;true;https://elvent.shop/product/2er-pack-gepaeckhaken/BW-GH-0
5-Punkt-Gurt;BW-FPG-0;4260706041349;5-punkt-gurt;true;https://elvent.shop/product/5-punkt-gurt/BW-FPG-0
AllRounder City;AR-ST-0;;allrounder-city;false;https://elvent.shop/product/allrounder-city/AR-ST-0
AllRounder City B-Ware;AR-ST-BLACK(B);;allrounder-city-b-ware;false;https://elvent.shop/product/allrounder-city-b-ware/AR-ST-BLACK(B)
AllRounder Premium;AR-PR-0;;allrounder-premium;false;https://elvent.shop/product/allrounder-premium/AR-PR-0
AllRounder Premium B-Ware;AR-PR-BLACK(B);;allrounder-premium-b-ware;false;https://elvent.shop/product/allrounder-premium-b-ware/AR-PR-BLACK(B)
Becher- und Smartphonehalter Premium;BW-BS-P;4260706043534;becher-und-smartphonehalter-premium;true;https://elvent.shop/product/becher-und-smartphonehalter-premium/BW-BS-P
Befestigungsschlaufe FamilyStar;FS-BS-0;4260706042438;befestigungsschlaufe-familystar;true;https://elvent.shop/product/befestigungsschlaufe-familystar/FS-BS-0
Bolzen mit Schrauben für das Rad;BW-BZ-1;4260706041295;bolzen-mit-schrauben-fuer-das-rad;false;https://elvent.shop/product/bolzen-mit-schrauben-fuer-das-rad/BW-BZ-1
Bremsleiste AllRounder;AR-BL-0;4260706042056;bremsleiste-allrounder;true;https://elvent.shop/product/bremsleiste-allrounder/AR-BL-0
